population	serotype	average	Set4	Set5	Set6
AS	AAV9_A1	0.08789576499846122	0.19744806830850906	0.041120757236273286	0.02511846945060129
AS	AAV5_A6	0.08575868512854595	7.720546454411698e-5	9.504926613067905e-5	0.2571038006549631
AS	AAV7_A2	0.08003692535416204	0.161126665236242	1.6179691006466492e-4	0.07882231391617944
AS	AAV9_A2	0.07953847672993523	0.01591626988898963	0.12310392858366913	0.09959523171714693
AS	AAV4_P4	0.07312118899948578	2.5498863581229973e-5	0.21931131035348886	2.6757781387220686e-5
AS	AAV1_P5	0.06368323274659761	0.05548765887424063	0.08411133964310011	0.05145069972245208
AS	AAV1_P4	0.06068354903073179	7.959746684538652e-5	0.17172250174281542	0.010248547882534553
AS	AAV5_A2	0.05641946326874832	8.568814229222783e-5	0.0241900359280728	0.14498266573587992
AS	AAVpo1_A6	0.04827225610716702	0.09228898114187736	0.052470886388482935	5.6900791140754695e-5
AS	AAV9_A6	0.046660166894948986	0.03224784547210176	0.05731313536241358	0.05041951985033163
AS	AAV1_A6	0.04610412332290108	0.1382527142140004	2.877845597518652e-5	3.0877298727651274e-5
AS	AAVrh10_A2	0.037455178423900094	0.11222867486506974	7.539197484959044e-5	6.146843178094528e-5
AS	AAV7_P4	0.03379567156570712	0.011250228078962827	0.02043457667491859	0.06970220994323993
AS	AAV2_A1	0.027857807194426515	0.08354890582806865	1.300516895326865e-5	1.1510586257629827e-5
AS	AAVpo1_P4	0.02507275232302223	1.52997002431678e-5	0.012567887276172357	0.06263506999265117
AS	AAV7_A1	0.017685369605928106	1.0910510117172643e-4	0.039838048804975296	0.013108954911637296
AS	AAV7_A6	0.01513797374680311	0.04537806277757432	1.3169988142526412e-5	2.2688474692481022e-5
AS	AAV9_P4	0.01488435177360843	0.02546876017157492	0.0107036599747651	0.00848063517448527
AS	AAVrh10_P4	0.014814680972232661	8.443288458060081e-6	0.0444237232616634	1.1876366576527438e-5
AS	AAVpo1_A2	0.013604794387626712	3.725063898570602e-5	4.3780920068829587e-5	0.0407333516038256
AS	AAV7wt	0.0128688997132119	5.497766155737876e-5	0.015990012285800565	0.02256170919227776
AS	AAV1wt	0.009256830962357557	0.014009405421264913	0.004707241679015995	0.009053845786791762
AS	AAV9_P5	0.00769260515876836	0.014291071775858463	0.008728619257287441	5.812444315917619e-5
AS	AAV7_P2	0.007675482667094158	3.114595591976082e-5	0.022960989672085937	3.43123732767766e-5
AS	AAVB1	0.006320979101560124	6.358284149920208e-5	0.006652507707720126	0.012246846755461043
AS	AAV7_P5	0.00571070412026178	2.8872276431325195e-5	2.7452615508242272e-5	0.017075787468845773
AS	AAV9wt	0.005679626268878593	8.590739413360066e-6	0.006791672366649443	0.010238615700572976
AS	AAV3_P4	0.004756911947142547	4.666916669169075e-6	0.014259990678966357	6.0782457921145805e-6
AS	AAVpo1_P5	0.003756100581052288	3.098791494040783e-6	1.632251226003217e-6	0.01126357070043682
AS	AAV8_P4	0.0030095675159834134	9.794730104395274e-6	0.009006151049027742	1.2756768818102448e-5
AS	AAV8_A2	0.002923062092438426	4.5844831989590015e-6	0.008761616352368754	2.9854417475654116e-6
AS	AAV6.2	0.001442060847429551	2.1493102681332255e-6	9.471359050271001e-7	0.004323086096115493
AS	AAVAH4-N9	5.6763734746928384e-5	5.981067338189005e-5	5.6994154610171315e-5	5.348637624872379e-5
AS	AAVJEA2-H8	3.978742637859234e-5	3.1067016763590806e-5	3.447627966148711e-5	5.381898271069911e-5
AS	AAV2wt	2.8228139593928656e-5	2.0527388253361805e-5	2.1729579895925365e-5	4.24274506324988e-5
AS	AAV1_A2	2.6958200966907404e-5	2.9291413241399644e-5	2.1575372850610506e-5	3.000781680871206e-5
AS	AAV4_A1	2.2635204505672856e-5	1.811999440958224e-5	1.4947983663029678e-5	3.4837635444406646e-5
AS	AAVJEA2-H17	2.2619265652543808e-5	2.32661651272352e-5	1.355043543780498e-5	3.1041196392591246e-5
AS	AAV6wt	1.9606109464784827e-5	1.4033088608506628e-5	2.6508384244689626e-5	1.827685554115822e-5
AS	AAVAH4-N4	1.856094902825153e-5	1.4045158486989757e-5	1.3354552648897532e-5	2.82831359488673e-5
AS	AAV4_P5	1.8222949207969003e-5	1.7005069257149678e-5	1.9543017003391746e-5	1.8120761363365582e-5
AS	AAVAH3-5	1.656917897253666e-5	1.7666058107036398e-5	1.0970558061076347e-5	2.107092074949724e-5
AS	AAVJEA2-H11	1.5879849180102424e-5	1.9579435236915024e-5	1.4559857657464475e-5	1.350025464592777e-5
AS	AAVJEA3-H4	1.4674140968436167e-5	1.440076607908797e-5	1.2239760766991722e-5	1.7381896059228812e-5
AS	AAVAH4-1	1.1725090105055362e-5	1.258604541404665e-5	9.349363067384865e-6	1.3239861833734569e-5
AS	AAVAH3-3	1.0361549976240349e-5	8.353728549573197e-6	1.1164328083560272e-5	1.156659329558758e-5
AS	AAV9K449R_PHP.S	9.875274351858017e-6	9.895168712606759e-6	5.486485633519577e-6	1.4244168709447716e-5
AS	AAV6shH10	8.437032094185537e-6	8.033797081336311e-6	5.7676588021059995e-6	1.15096403991143e-5
AS	AAV5_P5	8.292921065621298e-6	1.044284932173639e-5	5.8673552417323545e-6	8.56855863339515e-6
AS	AAVDJYF	7.092735858291936e-6	9.296540652436422e-6	3.690373082954522e-6	8.291293839484864e-6
AS	AAVAH3-N4	5.7712220099615895e-6	7.438370216524621e-6	4.477796836508414e-6	5.397498976851734e-6
AS	AAV8_P5	4.980036883918208e-6	5.669877364354288e-6	3.362622644276832e-6	5.907610643123506e-6
AS	AAVAH4-3	4.850723814842765e-6	4.638924104891192e-6	2.7925686779529027e-6	7.120678661684201e-6
AS	AAV9BI	4.709667913431904e-6	5.669927863677338e-6	5.165952775693215e-6	3.2931231009251593e-6
AS	AAV2_7m8	4.449856075948039e-6	1.2658963567281533e-6	4.939227495469369e-6	7.144444375646594e-6
AS	AAVAH4-N12	4.449790395185127e-6	4.858653193787735e-6	4.874737625656741e-6	3.615980366110904e-6
AS	AAV5_A1	3.5910051047111882e-6	5.246233869385432e-6	5.526781444748133e-6	0
AS	AAVrh10_A1	3.3826926037545037e-6	3.0148920205151608e-6	2.4703127327409475e-6	4.662873058007403e-6
AS	AAV1_A1	3.034480224044703e-6	2.7814524478969795e-6	3.9069245128886085e-6	2.4150637113485216e-6
AS	AAVDJ	2.766804343336145e-6	1.6787716919411134e-6	2.358060904383704e-6	4.263580433683618e-6
