serotype	average	aNSC Set1	aNSC Set2	aNSC Set3	qNSC Set1	qNSC Set2	qNSC Set3	TAP Set1	TAP Set3	NB Set1	NB Set3	AS Set4	AS Set5	AS Set6	OL Set4	OL Set5	OL Set6	EP Set4	EP Set5	EP Set6
AAV9_A2	0.2617610117874354	0.2609509377883194	0.2150598325190004	0.349002337226649	0.4647998743162121	0.327502510927794	0.2995257233648406	0.9985031372353812	0.09303275183393558	0.1901754370196225	0.35218288793819436	0.01591626988898963	0.12310392858366913	0.09959523171714693	7.536150866879802e-4	0.1923999836183336	0.1360244658687964	0.24427353423414622	0.18823740460808858	0.4224193601854645
AAV9_P4	0.07617884287698005	4.611331158332401e-4	0.15724750492398754	0.03956548420482395	0.029918126923366616	6.708657751397757e-4	0.14150159299042905	1.500970189880395e-4	0.22359719826790306	0.020250991171244313	0.11426416493549153	0.02546876017157492	0.0107036599747651	0.00848063517448527	0.0029461731100771916	0.03600607862629824	0.10424371600021903	0.16694015473245247	0.15136445600709475	0.21361722153844706
AAV1_P5	0.04599873423730686	0.25914336040417485	0.030549257824609214	0.05040000381752538	7.03815641936421e-5	3.313033200781311e-4	0.027242595788354012	7.820783760612807e-5	0.060702780860559476	0.005014353797191747	0.023872423571284662	0.05548765887424063	0.08411133964310011	0.05145069972245208	9.437338278747701e-5	0.03629135470754661	0.1045366810358176	0.07775922203517417	0.0067673854369346455	7.256688519974182e-5
AAV5_A6	0.043028401970753895	8.644959461317546e-4	5.213338948308454e-5	0.02686977069075185	3.173782782929605e-5	2.2248140489160986e-4	1.005771651456463e-4	7.208194547025171e-5	0.007657535370274997	0.40572635295422343	0.033926292634018335	7.720546454411698e-5	9.504926613067905e-5	0.2571038006549631	5.5637152043984644e-5	0.03537681264005737	7.172027399285577e-5	5.8709055123280184e-5	0.049132204420420836	4.503918882753472e-5
AAV7_A2	0.03843449314375984	1.6045532128666114e-4	0.09506374193740454	0.08980778810455779	7.669758681092215e-5	2.5427419266599267e-4	0.01567194561137972	5.727432805168922e-5	0.1609325121879633	3.619096349160705e-5	0.0256817154776004	0.161126665236242	1.6179691006466492e-4	0.07882231391617944	8.897832660890977e-5	0.008836439616188655	0.022538139188632858	0.0411402045804979	0.029758522729128125	3.971351668171663e-5
AAVrh10_A2	0.03729541422039461	3.661607562813349e-4	0.07333957075148141	6.999681608203451e-5	4.497606538771199e-5	0.010793901327117201	5.458079916589613e-5	8.750266886359171e-5	0.08187059151743699	2.4072659955210336e-5	6.446157721074278e-5	0.11222867486506974	7.539197484959044e-5	6.146843178094528e-5	4.6187923577768615e-5	0.06794551680944305	0.12473891921685418	0.022688658513044403	0.21405105406880456	6.118344509123736e-5
AAV7_A1	0.036900193122333017	1.9944396034837113e-4	0.05763574619610074	0.055238152869534665	1.5126049862894994e-4	3.195623897974932e-4	0.02891871425500268	1.0815974816887613e-4	0.07489275540125108	0.2375261710243338	0.13023077697483876	1.0910510117172643e-4	0.039838048804975296	0.013108954911637296	1.0475950152703696e-4	0.005679186736305424	0.03293239265699585	0.023993321188785423	6.2926834616842e-5	5.423027030698751e-5
AAV5_A2	0.03547358568759583	2.025261496099234e-4	0.1712172768530432	6.59959120251572e-5	7.545371042022585e-5	2.882129565463399e-4	0.13699421967688571	6.284250891124198e-5	0.01019506711464469	2.5329603469603943e-5	0.017476525334826444	8.568814229222783e-5	0.0241900359280728	0.14498266573587992	0.025075105807925924	0.008863401367113987	0.026062090642245662	0.042708902448182616	0.0653910225543473	3.5765617877727085e-5
AAV9_A6	0.03279240135635946	3.556983519624166e-4	0.05699900644569146	0.07487303126087547	8.317256676463239e-5	0.0034729024147081835	8.930681522649546e-5	8.8672739418074e-5	0.008679430466198354	0.0029814389231117102	0.042929396811807734	0.03224784547210176	0.05731313536241358	0.05041951985033163	1.2962483022226374e-4	0.034954523363519	0.16024104896442729	0.030226278397556202	0.06687562507225311	9.596766224040139e-5
AAV9_P5	0.0269399628137505	8.563413278966667e-5	2.8803364515914718e-5	7.270246096495331e-5	3.940757134814096e-5	1.6606843791433978e-4	4.235974605113197e-5	2.100796610081465e-5	7.671414090436712e-5	3.869721180480684e-5	0.05366016747295529	0.014291071775858463	0.008728619257287441	5.812444315917619e-5	6.013464304112369e-5	0.033099552031819385	0.01526161614127185	0.003463861727313288	0.04213476780827564	0.3405299831278837
